User_Location,Artisan_Location,Skill_Type,Availability,Scheduling_Preference,Artisan_Name
Oyo,Oyo,Dressmaker,Available,Advance,Fatima Abubakar
Kebbi,Kebbi,Painter,Available,Advance,Olumide Ajayi
Kebbi,Kebbi,Gardener,Not Available,On-Demand,Olumide Ogunlana
Rivers,Rivers,Makeup Artist,Available,Advance,Umar Ali
Borno,Borno,Hairdresser,Available,Advance,Umar Sani
Taraba,Taraba,Graphic Designer,Available,On-Demand,Hauwa Yusuf
Imo,Imo,Shoe Cobbler,Not Available,On-Demand,Yusuf Hassan
Borno,Borno,Gardener,Not Available,Advance,Adetokunbo Ogunlana
Bayelsa,Bayelsa,Mechanic,Available,Advance,Olufemi Ogunleye
Ebonyi,Ebonyi,Tailor,Available,On-Demand,Yusuf Muhammad
Plateau,Plateau,Makeup Artist,Not Available,Advance,Nneka Onyeka
Kebbi,Kebbi,Gardener,Not Available,Advance,Olumide Adegbola
Osun,Osun,Photographer,Not Available,On-Demand,Chukwudi Nwankwo
Gombe,Gombe,Gardener,Available,On-Demand,Chizoba Onyeka
Rivers,Rivers,Gardener,Available,On-Demand,Aliyu Sani
Enugu,Enugu,Furniture Maker,Available,Advance,Oluwatoyin Olawale
Taraba,Taraba,Dressmaker,Not Available,Advance,Oluwatobi Adebiyi
Kaduna,Kaduna,Tailor,Available,Advance,Chidinma Ibe
Ogun,Ogun,Graphic Designer,Not Available,On-Demand,Olufemi Ogunlana
Abia,Abia,Tailor,Not Available,On-Demand,Aliyu Abubakar
Jigawa,Jigawa,Plumber,Available,Advance,Chidinma Eze
Taraba,Taraba,Dressmaker,Available,On-Demand,Fatima Ibrahim
Ebonyi,Ebonyi,Dressmaker,Available,Advance,Olumide Ajayi
Plateau,Plateau,Mechanic,Available,Advance,Aliyu Hassan
Imo,Imo,Dressmaker,Not Available,Advance,Abubakar Abubakar
Plateau,Plateau,Plumber,Available,Advance,Oluwakemi Ogunlana
Taraba,Taraba,Gardener,Available,Advance,Chukwudi Ibe
Anambra,Anambra,Hairdresser,Not Available,On-Demand,Hauwa Abubakar
Bauchi,Bauchi,Mechanic,Available,Advance,Chizoba Nwankwo
Bayelsa,Bayelsa,Event Planner,Not Available,On-Demand,Chinonso Ibe
Imo,Imo,Shoe Cobbler,Available,Advance,Hauwa Muhammad
Delta,Delta,Electrician,Available,Advance,Olumide Adebiyi
Lagos,Lagos,Plumber,Available,Advance,Oluwakemi Adegbola
Bayelsa,Bayelsa,Carpenter,Available,Advance,Obinna Okeke
Plateau,Plateau,Carpenter,Not Available,Advance,Babatunde Ogunlana
Osun,Osun,Shoe Cobbler,Not Available,Advance,Yusuf Yusuf
Kogi,Kogi,Caterer,Available,Advance,Umar Ali
Taraba,Taraba,Furniture Maker,Not Available,Advance,Obinna Eze
Oyo,Oyo,Barber,Available,Advance,Chinonso Okoye
Taraba,Taraba,Gardener,Available,Advance,Hauwa Umar
